;Song Title;Artist;Lyrics;bpm
49;Orphans;Coldplay;"Rosaleem of the Damascene
Yes, she had eyes like the moon
Would have been on the silver screen
But for the missile monsoon

She went: ooh, ooh, oh-oh-oh, ooh
Indigo up in heaven today
Ooh, ooh, oh-oh-oh, ooh
With bombs going boom ba-boom-boom
She said

I want to know when I can go
Back and get drunk with my friends
I want to know when I can go
Back and be young again

Baba would go where the flowers grow
Almond and peach trees in bloom
And he would know just when and what to sow
So golden and opportune


He went: ooh, ooh, oh-oh-oh, ooh
Tulips the colour of honey today
It?s true, true, ooh, ooh, oh-oh-oh, ooh
With bombs going boom ba-boom-boom
He said

Oh, I want to know when I can go
Back and get drunk with my friends
I want to know when I can go
Back and be young again (Yeah)

Ooh, ooh, oh-oh-oh, ooh
Ooh, ooh, oh-oh-oh, ooh
Cherub seraphim soon
Come sailing us home by the light of the moon

Oh, I want to know when I can go
Back and get drunk with my friends
I want to know when I can go
Back and be young again

(Oh-oh, oh-oh ooh)
I guess we'll be raised on our own, then
(Oh-oh, oh-oh ooh)
I want to be with you ?til the world ends
I want to be with you 'til the whole world ends

Boom";108
50;Sunshine;OneRepublic;"Runnin' through this strange life
Chasin' all them green lights
Throwin' up the shade for a little bit of sunshine
Hit me with them good vibes
Pictures on my phone like
Everything is so fine
Little bit of sunshine
Yeah, crazy lately, I'm confirmin'
Tryna write myself a sermon
You just tryna get a word and life is not fair
I've been workin' on my tunnel vision
Tryna get a new prescription
Takin' swings and even missin' but I don't care
I'm dancin' more just a little bit
Breathin' more just a little bit
Care a little less just a little bit
Like life is woo hoo
I'm makin' more just a little bit
Spend a little more to get rid of it
Smile a little more and I'm into it
I, I, I, I, I've been runnin' through this strange life
Chasin' all them green lights
Throwin' up the shade for a little bit of sunshine
Hit me with them good vibes
Pictures on my phone like
Everything is so fine
Little bit of sunshine
A little bit of sunshine
A little bit of sunshine
'Nother day, another selfish moment
I've been feelin' helpless
Sick of seein' all the selfies, now I don't care
Found myself a new vocation
Calibrated motivation
No more static, change the station
Headin' somewhere
I'm dancin' more just a little bit
Breathin' more just a little bit
Care a little less just a little bit
Like life is woo hoo
I'm makin' more just a little bit
Spend a little more to get rid of it
Smile a little more and I'm into it
Honestly man, lately
I, I've been runnin' through this strange life
Chasin' all them green lights
Throwin' up the shade for a little bit of sunshine
Hit me with them good vibes
Pictures on my phone like
Everything is so fine
Little bit of sunshine
A little bit of sunshine
A little bit of sunshine
I don't really know any other way to say this
Can't slow down, tryna keep up with the changes
Punch that number and the name when I clock in
Now I feel like Michael with a cane when I walk in
Basically, life is the same thing unless you don't want the same thing
Probably shoulda went and got a feature, but I didn't
I've been savin' up the money 'cause it's better for the business
I, I've been runnin' through this strange life
Chasin' all them green lights
Throwin' up the shade for a little bit of sunshine (yeah)
Woo Woo
A little bit of sunshine
A little bit of sunshine";140
51;Synchronize;Milky Chance;"Smoke in the sky got me feeling so blue
Burning down the city while I?m here with you
Smoke in the sky and I'm holding you tight
Because

I love the way we synchronize
We synchronize
Let the moment crystallize
Don?t think twice

I just wanna simmer
Like the way you glimmer
Pretty fires all around
Tell me, are we dreaming?
Dancing on the ceiling
Wanna keep you safe and sound

And all the smoke in the sky got me feeling so blue
Burning down the city while I'm here with you
Smoke in the sky and I'm holding you tight
Because


I love the way we synchronize
We synchronize
Let the moment crystallize
Don?t think twice (yeah)

Feel your skin on mine
Forget about the time
Floating on a purple cloud
I don?t mind as long as you hold me in your arms
We ain't never coming down

And all the smoke in the sky got me feeling so blue
Burning down the city while I?m here with you
Smoke in the sky, and I'm holding you tight (yeah)

?Cause I love the way we synchronize
I love the way we synchronize (we synchronize)
Let the moment crystallize (crystallize)
I love the way we synchronize (don't think twice)

I love the way we synchronize (I love the way we synchronize)
We synchronize (let the moment crystallize)
Crystallize (I love the way we synchronize)
Don?t think twice (don't think twice)


(I love the way)
(I love the way we synchronize)
(I love the way)
(I love the way we synch ronize)
(Don't think twice)";124
52;Up In Her Mind;Henry And The Waiter;"She has always been so sorry for herself
You've been always that worried about her health
'Til you left her all alone in her dark cocoon
On a Sunday afternoon, she got called from the Moon, ooh (yeah)
She just left a note, right next to my coat
You saw her tears cried
I'm just up in my mind, oh, up in my mind
Where everything's right
She's just up in her, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her
Well, she's the queen of glory
Telling everyone on the streets her story
With her sunny dream on her mind
She runs through the rain in the middle of the night
Say what, no, why?
Well, she really wants to take you with her
If you give her just a spoon of love
All of a sudden she got called from above, oh-oh
She just left a note, right next to my coat
You saw her tears cried
I'm just up in my mind, oh, up in my mind
Where everything's right
She's just up in her, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her mind (oh, up in her mind)
(She's up in her, up in her mind, oh, up in her mind)
She got too high in her mind
She never gets back just in time
She wants to know
If she's alive or dreams of reality (mind)
(She's up in her, up in her mind, oh, up in her mind)
She just left a note, right next to my coat
You saw her tears cried
I'm just up in my mind, oh, up in my mind
Where everything's right
She's just up in her, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her mind, oh, up in her mind
She's up in her, up in her mind, oh, up in her-";110
53;Part of Me;Noah Kahan;"I think I forgot the things I?ve done
It's just good to be alive
And I could stand great before the sun
Though it?s getting in my eyes
And how was Salt Lake City, dear?
Do you feel me?

'Cause now you let your heart get filled
With someone else's love
And now you let your head get held
In someone else?s arms
And if I die tomorrow, babe, would you feel me?
Feel me?

?Cause you were only a little bit of light
And you were only a minute of my time
I don't miss you
I miss the way you made me feel

Advertisement

Like I lost part of me out there
My, my, my, my
When the space between our bodies disappeared
My, my, my, my
Even through the pain, I can?t recall your face
Just the ache of knowing everything was gonna change
I got so close to love with you, my dear
But I don't miss you
I miss the way you made me feel

And there was something in the air
As we drove your parents? car
Fire we both knew was there
But couldn't bring ourselves to start
I scream the words inside your head
And hoped you?d feel me
Feel me

'Cause you were only a little bit of light
You were only a minute of my time
I don't miss you
I miss the way you made me feel


Like I lost part of me out there
My, my, my, my
When the space between our bodies disappeared
My, my, my, my
Even through the pain, I can?t recall your face
Just the ache of knowing everything was gonna change
I got so close to love with you, my dear
But I don?t miss you
I miss the way you made me feel

I know
That the moment I chase is a race that I've already lost
But it?s long ago
And you were only afraid from fear of being alone
And I'm sure
That feeling, the ache is better than nothing at all

Feels like I lost part of me out there
My, my, my, my
When the space between our bodies disappeared
My, my, my, my
Even through the pain, I can?t recall your face
Just the ache of knowing everything was gonna change
I got so close to love with you, my dear
I don't miss you
I miss the way you made me feel";110
54;Following the Sun;SUPER-Hi, NEEKA;"Maybe I don?t wanna know
The way home
Taking on a journey
I've got places to go
Wanna chase a miracle?
It?s possible
You just gotta open the door

Darling, it's cold out there
Don't fear the road
Just come along with me
You?re not alone out there
Let?s write a song, make up the melody

If you're looking for me baby
You know you can find me
Following the sun
Somewhere running up my heartbeat
I don?t look behind me
Following the sun

Following the sun


Come and give your love away
Don't play it safe
I?ma let you fall but I won't let you break
Wanna chase a sunset
Are you ready yet?
We won?t get this chance every day

Darling, it's cold out there
Don't fear the road
Just come along with me
You?re not alone out there
Let?s write a song, make up the melody

If you're looking for me baby
You know you can find me
Following the sun
Somewhere running up my heartbeat
I don?t look behind me
Following the sun

Following the sun

Following the sun

You can lean on...
You can lean on me
You can lean on...
You can lean on me


If you're looking for me baby
You know you can find me
Following the sun
Somewhere running up my heartbeat
I don?t look behind me
Following the sun

Following the sun

Following the sun

You can lean on...
You can lean on me
You can lean on...
You can lean on me";127
55;Serotonin;Tom Walker;"My father told me
""Can?t wake up happy everyday
Can't have the sun without the rain
Can?t have the moments where you're truly on top of the world
Without the moments where you're down in the dirt""

It?s something they don?t really teach you in school
About anxiety, depression and the weight of the world
We're all looking for some gratification
A little love, a little validation
That?s why

I'm glad I found someone like you
To see the sadness and the truth
I?m glad I found someone like you
Yeah, yeah, yeah

I feel your touch deeper than my skin
Every chemical rushing in
Now I've found your love, I?m coming up again
Like serotonin, serotonin


Like a pill takes off the edge
Like a smoker's last cigarette
Now I've found your love, I?m coming up again
Like serotonin, serotonin

My father told me
""That?s the thing about life
It only matters who you have by your side
Not the money or the cars that you're driving
That?s some temporary high shit
Always chasing a climax""
That's why

I?m glad I found someone like you
Whose seen the sadness and the truth
I'm glad I found someone like you
Yeah, yeah, yeah

I feel your touch deeper than my skin
Every chemical rushing in
Now I?ve found your love, I'm coming up again
Like serotonin, serotonin

Like a pill takes off the edge
Like a smoker's last cigarette
Now I?ve found your love, I?m coming up again
Like serotonin, serotonin


Like serotonin, serotonin

I feel your touch deeper than my skin
Every chemical rushing in
Now I've found your love, I?m coming up again
Like serotonin, serotonin

Like a pill that takes off the edge
Like a smoker's last cigarette
Now I?ve found your love, I'm coming up again
Like serotonin, serotonin

Like serotonin, serotonin
Like serotonin";164
56;Beat It;Michael Jackson;"Beat It Lyrics[Verse 1]
They told him, ""Don't you ever come around here
Don't wanna see your face, you better disappear""
The fire's in their eyes and their words are really clear
So beat it, just beat it (Ooh!)
You better run, you better do what you can (Ooh!)
Don't wanna see no blood, don't be a macho man (Ooh!)
You wanna be tough, better do what you can
So beat it, but you wanna be bad

[Chorus]
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (Beat it)
Just beat it (Beat it)
Just beat it (Beat it)
Just beat it (Beat it, uh)
[Verse 2]
They're out to get you, better leave while you can
Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it (Ooh!)
You have to show them that you're really not scared (Ooh!)
You're playin' with your life, this ain't no truth or dare (Ooh!)
They'll kick you, then they'll beat you, then they'll tell you it's fair
So beat it, but you wanna be bad

[Chorus]
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right
Just beat it (Beat it, beat it, beat it)
Beat it (Beat it, beat it, ha, ha, ha, ha)
Beat it (Beat it, beat it)
Beat it (Beat it, beat it)
[Guitar Solo]
You might also like[Chorus]
Beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right (Who's right)
Just beat it, beat it, beat it, beat it (Hoo-hoo!)
No one wants to be defeated (Oh, lord)
Showin' how funky (Hee-hee!) and strong is your fight (Hee-hee-hee!)
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it (Beat it!)
No one wants to be defeated (Oh-no!)
Showin' how funky (Hoo-hoo!) and strong is your fight (Hee-hee! Hoo!)
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky and strong is your fight
It doesn't matter who's wrong or right (Who's right)
Just beat it, beat it, beat it, beat it (Hoo-hoo!)
No one wants to be defeated89Embed";139
57;Everytime We Touch;Cascada;"Everytime We Touch Lyrics[Verse 1]
I still hear your voice when you sleep next to me
I still feel your touch in my dream (In my dream)
Forgive me, my weakness, but I don't know why
Without you, it's hard to survive

[Chorus]
'Cause every time we touch, I get this feeling
And every time we kiss, I swear I could fly
Can't you feel my heart beat fast? I want this to last
Need you by my side
'Cause every time we touch, I feel the static
And every time we kiss, I reach for the sky
Can't you hear my heart beat so? I can't let you go
Want you in my life
[Instrumental Post-Chorus]

[Verse 2]
Your arms are my castle, your heart is my sky
They wipe away tears that I cry (That I cry)
The good and the bad times, we've been through them all
You make me rise when I fall

[Chorus]
'Cause every time we touch, I get this feeling
And every time we kiss, I swear I could fly
Can't you feel my heart beat fast? I want this to last
Need you by my side
'Cause every time we touch, I feel the static
And every time we kiss, I reach for the sky
Can't you hear my heart beat so? I can't let you go
Want you in my life

[Instrumental Post-Chorus]

[Outro]
'Cause every time we touch, I get this feeling
And every time we kiss, I swear I could fly
Can't you feel my heart beat fast? I want this to last
Need you by my sideYou might also like31Embed";142
58;Life Is Good;Future;"Translations???????PortuguêsFrançaisLife Is Good Lyrics[Part I]

[Chorus: Drake]
Workin' on a weekend like usual
Way off in the deep end like usual
Niggas swear they?passed?us, they doin'?too much
Haven't done my taxes, I'm?too turnt up
Virgil got a Patek on my wrist goin' nuts
Niggas caught me slippin' once, okay, so what?
Someone hit your block up, I'd tell you if it was us
Manor house in Rosewood, this shit too plush
[Verse: Drake]
Say my days are numbered, but I keep wakin' up
Know you see my texts, baby, please say some'
Wine by the glass, your man a cheapskate, huh?
Niggas gotta move off my release day, huh
Bitch, this is fame, not clout
I don't even know what that's about, watch your mouth
Baby got a ego twice the size of the crib
I can never tell her shit, it is what it is (What)
Said what I had to and did what I did (Ayy)
Never turn my back on FBG, God forbid
Virgil got the Patek on my wrist doin' front flips
Givin' you my number, but don't hit me on no dumb shit

[Chorus: Drake]
Workin' on a weekend like usual
Way off in the deep end like usual (Like usual)
Niggas swear they passed us, they doin' too much
Haven't done my taxes, I'm too turnt up
Virgil got a Patek on my wrist goin' nuts
Niggas caught me slippin' once, okay, so what?
Someone hit your block up, I'd tell you if it was us
Manor house in Rosewood, this shit too plush

[Interlude: Future]
It's cool, man, got red bottoms on
Life is good, you know what I mean? Like
You might also like[Part II]

[Chorus: Future]
Yeah, hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since, woo

[Verse 1: Future]
Granny, she was standin' right there while I catch a play on a brick, woo
I make them lil' niggas go haywire, Taliban in this bitch, woo
I done been down bad in them trenches, had to ride with that stick, woo
Who gave you pills? Who gave you that dust? Pluto sent you on a lick, woo
Too many convicts that roll with me to play in this shit, woo
I'm tryna avoid nonsense, get Osama spray in this bitch, woo
They at the candlelight lightin' it up, nigga, anybody can get it, woo
I'm on a PJ lightin' it up, Backwood full of sticky, woo
I'm tryna tote that Draco in London and it's extended, woo
They gotta stretch a nigga out, we gon' die for this shit, woo
Yeah, I ride for my niggas, I lie to my bitch, woo
We some poor, high-class niggas, made it, we rich, yeah
I was at the bando, got a penthouse for a closet, woo
It's like a chandelier on my neck, my wrist, woo
I got pink toes that talk different languages, woo
Got Promethazine in my blood and Percocet, yeah
[Chorus: Future]
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since

[Verse 2: Future]
Racks by the ton, I call up Serena
I go tremendo for new fettuccine
All fact though, carat the pinky
All fact though, we ordered the Fiji
I'm in the loop with the voo, I'm in the loop with the woo, which one you workin'?
I'll put your face on the news, I'll put the pussy on the shirt after I murk it
Then make 'em go shoot up the hearse, cost me a quarter bird, nigga, it's worth it
And you a maniac, a fuckin' alien, how you splurgin'?
Got that kitty cat, I'm havin' fun with that, goin' Birkin

[Chorus: Future]
Yeah, hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since, woo

[Outro: Future]
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, yeah
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, uh
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch105Embed";142
59;For Reasons Unknown;The Killers;"For Reasons Unknown Lyrics[Verse 1]
I pack my case. I check my face
I look a little bit older
I look a little bit colder
With one deep breath, and one big step, I move a little bit closer
I move a little bit closer
For reasons unknown

[Verse 2]
I caught my stride
I flew and flied
I know if destinys kind, Ive got the rest of my mind
But my heart, it dont beat, it dont beat the way it used to
And my eyes, they dont see you no more
And my lips, they dont kiss, they dont kiss the way they used to
And my eyes dont recognize you no more
[Chorus]
For reasons unknown
For reasons unknown

[Verse 3]
There was an open chair
We sat down in the open chair
I said if destinys kind, Ive got the rest of my mind
But my heart, it dont beat, it dont beat the way it used to
And my eyes, they dont see you no more
And my lips, they dont kiss, they dont kiss the way they used to
And my eyes dont recognize you at all

[Chorus]
For reasons unknown
For reasons unknown

[Bridge]
I said my heart, it dont beat, it dont beat the way it used to and my eyes dont recognize you no more
And my lips, they dont kiss, they dont kiss the way they used to
And my eyes dont recognize you no more

[Outro]
For reasons unknown
For reasons unknown
For reasons unknown
For reasons unknownYou might also like7Embed";140
60;Bleed It Out;Linkin Park;"TranslationsPortuguêsLinkin Park - Bleed It Out (Traduzione Italiana)Bleed It Out Lyrics[Verse 1: Mike Shinoda]
Yeah, here we go for the hundredth time
Hand grenade pins in every line
Throw 'em up and let something shine
Going out of my fucking mind
Filthy mouth, no excuse
Find a new place to hang this noose
String me up from atop these roofs
Knot it tight so I won't get loose
Truth is, you can stop and stare
Bled myself out and no one cares
Dug the trench out, laid down there
With a shovel up out of reach, somewhere
Yeah, someone pour it in
Make it a dirt dance floor, again
Say your prayers and stomp it out
When they bring that chorus in
[Chorus: Chester Bennington with Mike Shinoda]
I bleed it out, digging deeper just to throw it away
I bleed it out, digging deeper just to throw it away
I bleed it out, digging deeper just to throw it away
Just to throw it away, just to throw it away
I bleed it out

[Verse 2: Mike Shinoda]
Go, stop the show
Choppy words and a sloppy flow
Shotgun opera, lock and load
Cock it back and then watch it go
Mama, help me, I've been cursed
Death is rolling in every verse
Candy paint on his brand new hearse
Can't contain him, he knows he works
Fuck, this hurts, I won't lie
Doesn't matter how hard I try
Half the words don't mean a thing
And I know that I won't be satisfied
So why try ignoring him?
Make it a dirt dance floor again
Say your prayers and stomp it out
When they bring that chorus in

[Chorus: Chester Bennington]
I bleed it out, digging deeper just to throw it away
I bleed it out, digging deeper just to throw it away
I bleed it out, digging deeper just to throw it away
Just to throw it away, just to throw it away
I bleed it out
You might also like[Bridge: Chester Bennington]
I've opened up these scars
I'll make you face this!
I've pulled myself so far
I'll make you face this now!

[Chorus: Chester Bennington]
I bleed it out, digging deeper just to throw it away
I bleed it out, digging deeper just to throw it away
I bleed it out, digging deeper just to throw it away
Just to throw it away, just to throw it away
I bleed it out, digging deeper just to throw it away
I bleed it out, digging deeper just to throw it away
I bleed it out, digging deeper just to throw it away
Just to throw it away, just to throw it away

[Outro: Chester Bennington]
I bleed it out
I bleed it out
I bleed it out55Embed";140
61;Happy;Pharrell Williams;"TranslationsPortuguês????????FrançaisHappy Lyrics[Produced by Pharrell Williams]

[Verse 1]
It might seem crazy what I'm 'bout to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way

[Chorus]
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
[Verse 2]
Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn ya, I'll be just fine (Yeah!)
No offense to you, dont waste your time, here's why

[Chorus]
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

[Bridge]
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said
You might also like[Chorus]
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

[Bridge]
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said...
[Chorus]
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Come on)883Embed";160
62;Vegas;Doja Cat;"TranslationsTürkçeVegas Lyrics[Intro: Shonka Dukureh]
Yeah, ah, get it
Yeah, ah, get it
Yeah, yeah, ah, get it
Yeah, ah, get it
Yeah, ah, get it
Yeah

[Chorus: Doja Cat, Shonka Dukureh]
You ain't nothin' but a
Dog, player, ah, get it
Fraud, player, ah, get it
I understand, I understand
You ain't the man, you ain't a man
You ain't nothin' but a
Hound dog, hound dog, hound dog
You ain't nothin' but a
[Verse 1: Doja Cat, Shonka Dukureh]
Player gettin' valeted around in that ho whip
Two fingers up, one down with my toes ten
Flewed out with my boobs out, put a cork in it
Love it when you be cryin' out when I'm corseted
I don't think he gon' make it, do not let me start ragin'
****, I'm losin' my patience, this ain't stayin' in Vegas (You ain't nothin' but a)
There's more sides to the story, I'ma tell everybody
Had your ass sittin' courtside with your arm around me
Had your ass sittin' first class with your burnt ass out in Abu Dhabi
Coulda been what we shoulda been
But you lost a bet, now you gotta find me
Find a seat
I ain't playin', that's hide and seek
High school when you finally peaked
Hound dog, come find a treat
I'm a bad bitch, but

[Chorus: Doja Cat, Shonka Dukureh]
You ain't nothin' but a
Dog, player, ah, get it
Fraud, player, ah, get it
I understand, I understand
You ain't the man, you ain't a man
You ain't nothin' but a
Hound dog, hound dog, hound dog (Yeah, yeah, said)
You ain't nothin' but a
You might also like[Verse 2: Doja Cat, Shonka Dukureh]
I get it, I know you got some other **** you wanted
I get it, you needed someone that could prove you wrong
So I reckon you leave all of your problems at the door to my city
You gon' need to tell my brothers where you from
And I admit it, I still got empathy
And you gon' feel it for two weeks when I release you in them sheets (You ain't nothin' but a)
And keep my meanin' discreet, keep the cleanin' my gym
Then put that Yeezy in your teeth, let my demons off they leashes
If you even think to speak, I'ma give a whole new meanin'
When you said you live in a dream, we can keep that **** asleep
And you gon' laugh with all your Gs
Countin' them sheep, sheep, sheep, sheep
Talkin' 'bout Z-Z-Z-Z-Z-Z-Z, R.I.P

[Chorus: Doja Cat, Shonka Dukureh]
You ain't nothin' but a
Dog, player, ah, get it
Fraud, player, ah, get it
I understand, I understand
You ain't the man, you ain't a man
You ain't nothin' but a
Hound dog, hound dog, hound dog
You ain't nothin' but a
Dog, player, ah, get it
Fraud, player, ah, get it
I understand, I understand
You ain't the man, you ain't a man
You ain't nothin' but a
Hound dog, hound dog, hound dog
You ain't nothin' but a
[Outro: Shonka Dukureh]
Yeah, ah, get it
Yeah, ah, get it
Yeah, yeah, ah, get it
Yeah, ah, get it
Yeah, yeah, ah, get it
Yeah, you ain't nothin' but a10Embed";160
63;One Way Or Another;Blondie;"One Way or Another Lyrics[Instrumental Intro]

[Verse 1]
One way or another, I'm going to find ya
I'm gonna get ya, get ya, get ya, get ya
One way or another I'm going to win ya
I'm gonna get ya, get ya, get ya, get ya
One way or another I'm gonna see ya
I'm gonna meet ya, meet ya, meet ya, meet ya
One day, maybe next week, I'm gonna meet you
I'm gonna meet ya, I'll meet ya
[Chorus 1]
I will drive past your house
And if the lights are all down
I'll see who's around

[Verse 2]
One way or another, I'm gonna find ya
I'm gonna get ya, get ya, get ya, get ya
One way or another, I'm gonna win ya
I'll get ya, I'll get ya
One way or another, I'm gonna see ya
I'm gonna meet ya, meet ya, meet ya, meet ya
One day, maybe next week, I'm gonna meet ya
I'll meet ya

[Chorus 2]
And if the lights are all out
I'll follow your bus downtown
See who's hanging out
[Instrumental Bridge]

[Verse 3]
One way or another, I'm gonna lose ya
I'm gonna give you the slip
A slip of the hip or another, I'm gonna lose you
I'm gonna trick ya, I'll trick ya
One way or another, I'm gonna lose ya
I'm gonna trick ya, trick ya, trick ya, trick ya
One way or another, I'm gonna lose ya
I'm gonna give you the slip
You might also like[Bridge]
I'll walk down the mall, stand over by the wall
Where I can see it all, find out who you call
Lead you to the supermarket checkout
Some specials and rat food, get lost in the crowd
[Outro]
One way or another I'm gonna get ya
(Where I can see it all, find out who you call)
I'll get ya, I'll get ya, get ya, get ya, get ya
One way or another I'm gonna get ya
(Where I can see it all, find out who you call)
I'll get ya, I'll get ya, get ya, get ya, get ya
One way or another I'm gonna get ya
(Where I can see it all, find out who you call)
I'll get ya, I'll get ya, get ya, get ya, get ya
One way or another I'm gonna get ya
(Where I can see it all, find out who you call)
I'll get ya, I'll get ya, get ya, get ya, get ya
One way or another I'm gonna get ya
(Where I can see it all, find out who you call)
I'll get ya, I'll get ya, get ya, get ya, get ya
One way or another I'm gonna get ya
(Where I can see it all, find out who you call)
I'll get ya, I'll get ya, get ya, get ya, get ya
One way or another I'm gonna get ya10Embed";162
64;Sugar, We're Goin Down;Fall Out Boy;"TranslationsEnglishSugar, Were Goin Down Lyrics[Verse 1]
Am I more than you bargained for yet?
I've been dying to tell you
Anything you want to hear
'Cause that's just who I am this week
Lie in the grass next to the mausoleum
I'm just a notch in your bedpost, but you're just a line in a song
(Notch in your bedpost, but you're just a line in a song)

[Pre-Chorus]
Drop a heart
And break a name
We're always sleeping in and sleeping
For the wrong team
[Chorus]
We're going down, down in an earlier round
And sugar, we're going down swinging
I'll be your number one with a bullet
A loaded God complex, cock it and pull it
We're going down, down in an earlier round
And sugar, we're going down swinging
I'll be your number one with a bullet
A loaded God complex, cock it and pull it

[Verse 2]
Is this more than you bargained for yet?
Oh, don't mind me, I'm watching
You two from the closet
Wishing to be the friction in your jeans
Isn't it messed up how I'm just dying to be him?
I'm just a notch in your bedpost, but you're just a line in a song
(Notch in your bedpost, but you're just a line in a song)

[Pre-Chorus]
Drop a heart
And break a name
We're always sleeping in and sleeping
For the wrong team

[Chorus]
We're going down, down in an earlier round
And sugar, we're going down swinging
I'll be your number one with a bullet
A loaded God complex, cock it and pull it
We're going down, down in an earlier round
And sugar, we're going down swinging
I'll be your number one with a bullet
A loaded God complex, cock it and pull it
You might also like[Bridge]
Down, down in an earlier round
And sugar, we're going down swinging
I'll be your number one with a bullet
A loaded God complex, cock it and pull it
We're going down, down in an earlier round (Take aim at myself)
And sugar, we're going down swinging (Take back what you said)
I'll be your number one with a bullet (Take aim at myself)
A loaded God complex, cock it and pull it

[Outro]
We're going down, down (down, down)
Down, down (down, down)
We're going down, down (down, down)
A loaded God complex, cock it and pull it
We're going down, down in an earlier round (Take aim at myself)
And sugar, we're going down swinging (Take back what you said)
I'll be your number one with a bullet (Take aim at myself)
A loaded God complex, cock it and pull it118Embed";162
